episode,total_reward,best_reward,average_reward
1,11.0,19.0,13.16
2,9.0,19.0,13.16
3,14.0,19.0,13.16
4,16.0,19.0,13.16
5,19.0,19.0,13.16
6,16.0,19.0,13.16
7,14.0,19.0,13.16
8,3.0,19.0,13.16
9,8.0,19.0,13.16
10,13.0,19.0,13.16
11,14.0,19.0,13.16
12,13.0,19.0,13.16
13,15.0,19.0,13.16
14,14.0,19.0,13.16
15,10.0,19.0,13.16
16,18.0,19.0,13.16
17,11.0,19.0,13.16
18,17.0,19.0,13.16
19,15.0,19.0,13.16
20,18.0,19.0,13.16
21,9.0,19.0,13.16
22,4.0,19.0,13.16
23,16.0,19.0,13.16
24,16.0,19.0,13.16
25,16.0,19.0,13.16
26,4.0,19.0,13.16
27,5.0,19.0,13.16
28,9.0,19.0,13.16
29,12.0,19.0,13.16
30,12.0,19.0,13.16
31,16.0,19.0,13.16
32,7.0,19.0,13.16
33,14.0,19.0,13.16
34,14.0,19.0,13.16
35,19.0,19.0,13.16
36,18.0,19.0,13.16
37,12.0,19.0,13.16
38,18.0,19.0,13.16
39,13.0,19.0,13.16
40,13.0,19.0,13.16
41,10.0,19.0,13.16
42,12.0,19.0,13.16
43,9.0,19.0,13.16
44,16.0,19.0,13.16
45,16.0,19.0,13.16
46,18.0,19.0,13.16
47,16.0,19.0,13.16
48,14.0,19.0,13.16
49,15.0,19.0,13.16
50,17.0,19.0,13.16
